Athlete,Statistic,Team,Total
"Aiken, R",attempt_from_zone1,Queensland Firebirds,674
"Aiken, R",attempt_from_zone2,Queensland Firebirds,11
"Aiken, R",attempts1,Queensland Firebirds,674
"Aiken, R",attempts2,Queensland Firebirds,11
"Aiken, R",badHands,Queensland Firebirds,20
"Aiken, R",badPasses,Queensland Firebirds,6
"Aiken, R",blocked,Queensland Firebirds,1
"Aiken, R",blocks,Queensland Firebirds,0
"Aiken, R",breaks,Queensland Firebirds,0
"Aiken, R",centrePassReceives,Queensland Firebirds,0
"Aiken, R",centrePassToGoalPerc,Queensland Firebirds,0
"Aiken, R",contactPenalties,Queensland Firebirds,29
"Aiken, R",deflections,Queensland Firebirds,8
"Aiken, R",deflectionWithGain,Queensland Firebirds,2
"Aiken, R",deflectionWithNoGain,Queensland Firebirds,4
"Aiken, R",disposals,Queensland Firebirds,774
"Aiken, R",feeds,Queensland Firebirds,89
"Aiken, R",feedWithAttempt,Queensland Firebirds,58
"Aiken, R",gain,Queensland Firebirds,2
"Aiken, R",gainToGoalPerc,Queensland Firebirds,0
"Aiken, R",generalPlayTurnovers,Queensland Firebirds,62
"Aiken, R",goal_from_zone1,Queensland Firebirds,577
"Aiken, R",goal_from_zone2,Queensland Firebirds,5
"Aiken, R",goal1,Queensland Firebirds,577
"Aiken, R",goal2,Queensland Firebirds,5
"Aiken, R",goalAssists,Queensland Firebirds,33
"Aiken, R",goalAttempts,Queensland Firebirds,685
"Aiken, R",goalMisses,Queensland Firebirds,103
"Aiken, R",goals,Queensland Firebirds,582
"Aiken, R",interceptPassThrown,Queensland Firebirds,6
"Aiken, R",intercepts,Queensland Firebirds,0
"Aiken, R",minutesPlayed,Queensland Firebirds,818
"Aiken, R",missedGoalTurnover,Queensland Firebirds,12
"Aiken, R",netPoints,Queensland Firebirds,1002
"Aiken, R",obstructionPenalties,Queensland Firebirds,12
"Aiken, R",offsides,Queensland Firebirds,1
"Aiken, R",passes,Queensland Firebirds,89
"Aiken, R",penalties,Queensland Firebirds,43
"Aiken, R",pickups,Queensland Firebirds,22
"Aiken, R",points,Queensland Firebirds,587
"Aiken, R",possessionChanges,Queensland Firebirds,74
"Aiken, R",possessions,Queensland Firebirds,818
"Aiken, R",quartersPlayed,Queensland Firebirds,56
"Aiken, R",rebounds,Queensland Firebirds,111
"Aiken, R",tossUpWin,Queensland Firebirds,0
"Allen, N",attempt_from_zone1,Collingwood Magpies,16
"Allen, N",attempt_from_zone2,Collingwood Magpies,27
"Allen, N",attempts1,Collingwood Magpies,16
"Allen, N",attempts2,Collingwood Magpies,27
"Allen, N",badHands,Collingwood Magpies,3
"Allen, N",badPasses,Collingwood Magpies,1
"Allen, N",blocked,Collingwood Magpies,0
"Allen, N",blocks,Collingwood Magpies,0
"Allen, N",breaks,Collingwood Magpies,0
"Allen, N",centrePassReceives,Collingwood Magpies,16
"Allen, N",centrePassToGoalPerc,Collingwood Magpies,0
"Allen, N",contactPenalties,Collingwood Magpies,5
"Allen, N",deflections,Collingwood Magpies,2
"Allen, N",deflectionWithGain,Collingwood Magpies,0
"Allen, N",deflectionWithNoGain,Collingwood Magpies,2
"Allen, N",disposals,Collingwood Magpies,73
"Allen, N",feeds,Collingwood Magpies,28
"Allen, N",feedWithAttempt,Collingwood Magpies,19
"Allen, N",gain,Collingwood Magpies,0
"Allen, N",gainToGoalPerc,Collingwood Magpies,0
"Allen, N",generalPlayTurnovers,Collingwood Magpies,10
"Allen, N",goal_from_zone1,Collingwood Magpies,16
"Allen, N",goal_from_zone2,Collingwood Magpies,13
"Allen, N",goal1,Collingwood Magpies,16
"Allen, N",goal2,Collingwood Magpies,13
"Allen, N",goalAssists,Collingwood Magpies,18
"Allen, N",goalAttempts,Collingwood Magpies,43
"Allen, N",goalMisses,Collingwood Magpies,14
"Allen, N",goals,Collingwood Magpies,29
"Allen, N",interceptPassThrown,Collingwood Magpies,2
"Allen, N",intercepts,Collingwood Magpies,0
"Allen, N",minutesPlayed,Collingwood Magpies,85
